"Liquidacion","Tipo_Liquidacion","Especie","Recibo"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482678"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482680"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482682"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482684"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482686"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482688"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","CDTBBO90VD","1482690"
"81553","","ECOPETROL","1482692"
"81553","","ECOPETROL","1482692"
"81553","","ECOPETROL","1482692"
"81553","","ECOPETROL","1482692"
"81553","","ECOPETROL","1482692"
"81553","","ECOPETROL","1482692"
"81553","","ECOPETROL","1482692"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482694"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482696"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482699"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
"81553","","CDTBBO90VD","1482706"
